Time,DigitalTherm,Thermistor
38:48.5,0.61,0.06
38:54.2,0.61,0.06
38:59.9,0.61,0.06
39:05.6,0.58,0.12
39:11.3,0.63,0.06
39:17.0,0.61,0.06
39:22.7,0.61,0.06
39:28.4,0.63,0.06
39:34.0,0.63,0.06
39:39.8,0.63,0.06
39:45.4,0.58,0.06
39:51.1,0.56,0.06
39:56.8,0.58,0.06
40:02.5,0.58,0.06
40:08.2,0.58,0.06
40:13.9,0.61,0.12
40:19.6,0.65,0.06
40:25.3,0.63,0.06
40:31.0,0.61,0.06
40:36.6,0.61,0.06
40:42.3,0.58,0.06
40:48.0,0.58,0.06
40:53.7,0.61,0.06
40:59.4,0.61,0.06
41:05.1,0.61,0.06
41:10.8,0.58,0.06
41:16.5,0.56,0.06
41:22.2,0.56,0.06
41:27.9,0.63,0.06
41:33.6,0.56,0.06
41:39.3,0.63,0.06
41:44.9,0.61,0.06
41:50.7,0.61,0.06
41:56.3,0.54,0.06
42:02.0,0.58,0.06
42:07.7,0.54,0.06
42:13.4,0.54,0.06
42:19.1,0.54,0.12
42:24.8,0.56,0.06
42:30.5,0.58,0.06
42:36.2,0.58,0.06
42:41.8,0.61,0.06
42:47.6,0.63,0.06
42:53.2,0.63,0.06
42:58.9,0.56,0.06
43:04.6,0.61,0.06
43:10.3,0.56,0.06
43:16.0,0.63,0.06
43:21.7,0.58,0.06
43:27.4,0.58,0.06
43:33.1,0.65,0.06
43:38.8,0.56,0.06
43:44.5,0.58,0.06
43:50.1,0.61,0.06
43:55.8,0.56,0.06
44:01.5,0.61,0.06
44:07.2,0.54,0.06
44:12.9,0.61,0.06
44:18.6,0.61,0.06
44:24.3,0.56,0.06
44:30.0,0.56,0.06
44:35.7,0.56,0.06
44:41.4,0.56,0.06
44:47.1,0.61,0.06
44:52.8,0.56,0.06
44:58.4,0.61,0.06
45:04.1,0.58,0.06
45:09.8,0.56,0.06
45:15.5,0.56,0.06
45:21.2,0.63,0.06
45:26.9,0.61,0.06
45:32.6,0.65,0.06
45:38.3,0.54,0.06
45:44.0,0.54,0.06
45:49.7,0.63,0.06
45:55.3,0.63,0.06
46:01.0,0.56,0.06
46:06.7,0.61,0.06
46:12.4,0.54,0.06
46:18.1,0.56,0.06
46:23.8,0.54,0.06
46:29.5,0.58,0.06
46:35.2,0.56,0.06
46:40.9,0.54,0.06
46:46.6,0.58,0.06
46:52.3,0.54,0.06
46:57.9,0.54,0.06
47:03.6,0.61,0.06
47:09.3,0.58,0.12
47:15.0,0.52,0.06
47:20.7,0.61,0.06
47:26.4,0.58,0.06
47:32.1,0.54,0.06
47:37.8,0.61,0.06
47:43.5,0.52,0.06
47:49.2,0.58,0.12
47:54.9,0.58,0.06
48:00.5,0.56,0.06
48:06.2,0.52,0.06
48:11.9,0.58,0.06
48:17.6,0.56,0.06
48:23.3,0.58,0.06
48:29.0,0.61,0.06
48:34.7,0.56,0.06
48:40.4,0.56,0.06
48:46.1,0.52,0.06
48:51.8,0.61,0.06
48:57.5,0.54,0.06
49:03.2,0.56,0.06
49:08.8,0.56,0.06
49:14.5,0.56,0.06
49:20.2,0.61,0.06
49:25.9,0.58,0.06
49:31.6,0.54,0.06
49:37.3,0.58,0.06
49:43.0,0.54,0.06
49:48.7,0.58,0.06
49:54.4,0.56,0.06
50:00.1,0.54,0.06
50:05.7,0.61,0.06
50:11.4,0.61,0.06
50:17.1,0.52,0.06
50:22.8,0.52,0.06
50:28.5,0.56,0.06
50:34.2,0.54,0.06
50:39.9,0.58,0.06
