Time,Digital Thermometer,Thermistor
26/01/2021 16:36,1.31,1.13
26/01/2021 16:36,1.25,1.17
26/01/2021 16:36,1.31,1.15
26/01/2021 16:36,1.31,1.15
26/01/2021 16:36,1.31,1.17
26/01/2021 16:36,1.25,1.13
26/01/2021 16:36,1.25,1.11
26/01/2021 16:36,1.31,1.17
26/01/2021 16:36,1.25,1.2
26/01/2021 16:36,1.31,1.15
26/01/2021 16:36,1.25,1.13
26/01/2021 16:36,1.31,1.15
26/01/2021 16:36,1.25,1.15
26/01/2021 16:36,1.31,1.11
26/01/2021 16:36,1.31,1.15
26/01/2021 16:36,1.31,1.15
26/01/2021 16:36,1.25,1.13
26/01/2021 16:36,1.25,1.11
26/01/2021 16:36,1.25,1.11
26/01/2021 16:36,1.25,1.17
26/01/2021 16:36,1.25,1.15
26/01/2021 16:36,1.31,1.17
26/01/2021 16:36,1.31,1.13
26/01/2021 16:36,1.25,1.15
26/01/2021 16:36,1.25,1.13
26/01/2021 16:36,1.25,1.13
26/01/2021 16:36,1.25,1.15
26/01/2021 16:36,1.25,1.15
26/01/2021 16:37,1.25,1.15
26/01/2021 16:37,1.25,1.13
26/01/2021 16:37,1.25,1.15
26/01/2021 16:37,1.25,1.13
26/01/2021 16:37,1.25,1.15
26/01/2021 16:37,1.25,1.17
26/01/2021 16:37,1.19,1.13
26/01/2021 16:37,1.19,1.13
26/01/2021 16:37,1.19,1.13
26/01/2021 16:37,1.19,1.13
26/01/2021 16:37,1.19,1.15
26/01/2021 16:37,1.19,1.15
26/01/2021 16:37,1.19,1.13
26/01/2021 16:37,1.19,1.11
26/01/2021 16:37,1.12,1.15
26/01/2021 16:37,1.19,1.11
26/01/2021 16:37,1.12,1.2
26/01/2021 16:37,1.19,1.11
26/01/2021 16:37,1.19,1.13
26/01/2021 16:37,1.12,1.15
26/01/2021 16:37,1.19,1.17
26/01/2021 16:37,1.19,1.13
26/01/2021 16:37,1.12,1.15
26/01/2021 16:37,1.12,1.09
26/01/2021 16:37,1.12,1.15
26/01/2021 16:37,1.12,1.17
26/01/2021 16:37,1.12,1.15
26/01/2021 16:37,1.12,1.11
26/01/2021 16:37,1.12,1.13
26/01/2021 16:37,1.12,1.17
26/01/2021 16:37,1.12,1.2
26/01/2021 16:37,1.12,1.13
26/01/2021 16:37,1.12,1.11
26/01/2021 16:37,1.12,1.13
26/01/2021 16:37,1.12,1.15
26/01/2021 16:38,1.12,1.15
26/01/2021 16:38,1.12,1.13
26/01/2021 16:38,1.12,1.13
26/01/2021 16:38,1.12,1.17
26/01/2021 16:38,1.12,1.17
26/01/2021 16:38,1.12,1.17
26/01/2021 16:38,1.12,1.15
26/01/2021 16:38,1.12,1.15
26/01/2021 16:38,1.12,1.17
26/01/2021 16:38,1.12,1.2
26/01/2021 16:38,1.12,1.17
26/01/2021 16:38,1.12,1.15
26/01/2021 16:38,1.12,1.11
26/01/2021 16:38,1.12,1.13
26/01/2021 16:38,1.12,1.2
26/01/2021 16:38,1.12,1.22
26/01/2021 16:38,1.12,1.15
26/01/2021 16:38,1.12,1.13
26/01/2021 16:38,1.12,1.13
26/01/2021 16:38,1.12,1.15
26/01/2021 16:38,1.12,1.15
26/01/2021 16:38,1.12,1.22
26/01/2021 16:38,1.12,1.13
26/01/2021 16:38,1.12,1.13
26/01/2021 16:38,1.12,1.15
26/01/2021 16:38,1.12,1.2
26/01/2021 16:38,1.12,1.17
26/01/2021 16:38,1.12,1.17
26/01/2021 16:38,1.12,1.17
26/01/2021 16:38,1.06,1.15
26/01/2021 16:38,1.12,1.15
26/01/2021 16:38,1.12,1.2
26/01/2021 16:38,1.12,1.15
26/01/2021 16:38,1.12,1.13
26/01/2021 16:38,1.12,1.13
26/01/2021 16:38,1.06,1.2
26/01/2021 16:39,1.12,1.17
26/01/2021 16:39,1.06,1.15
26/01/2021 16:39,1.12,1.09
26/01/2021 16:39,1.12,1.11
26/01/2021 16:39,1.12,1.2
26/01/2021 16:39,1.12,1.17
26/01/2021 16:39,1.12,1.15
